site_id,site_name,latitude,longitude
W3956,GF,21.351900,39.964800
W5011,GF,21.422677,39.874318
W3973,GF,21.424165,39.873635
W6187,GF,21.425453,39.873750
W4472,GF,21.549643,39.152278
W3595,GF,21.653420,39.108575
W5603,RT,21.419900,39.829400
W2221,RT,21.535173,39.179133
W2904,Dismantled,2017.000000,2017.000000
W6277,GF,19.171963,41.085685
W4887,GF,20.577200,41.316900
W2571,RT,21.229218,40.410342
W2637,RT,21.297288,39.270560
W6476,GF,21.318002,39.260598
W5236,GF,21.343990,39.958290
W5207,GF,21.347000,39.958306
W5254,GF,21.355400,39.980270
W5247,WM,21.358810,39.959510
W5228,GF,21.359306,39.973639
W5078,GF,21.412650,39.888140
W5081,GF,21.418590,39.886277
W3778,GF,21.419333,39.885223
W6202,RT,21.602923,39.185123
W2364,RT,21.435700,39.818600
W5970,WM,21.419500,39.824200
W4885,GF,20.432300,41.329000
W4171,RT,21.227077,40.396537
W4272,RT,21.239800,40.419900
W3671,RT,21.261440,40.423565
W2588,RT,21.268102,40.394967
W6264,GF,21.332115,39.236778
W5237,GF,21.334490,39.970280
W3997,GF,21.338040,39.962850
W5257,GF,21.342630,39.959450
W5220,GF,21.346056,39.986306
W5293,GF,21.357090,39.962520
W5035,GF,21.413082,39.886583
W5037,GF,21.414750,39.882889
W3463,GF,21.419530,39.897750
W4599,IBS,21.419250,39.823670
W6502,GF,21.259470,39.186070
W5200,GF,21.340350,39.962440
W5149,GF,21.382230,39.920240
W5846,GF,21.316996,39.192212
W3960,GF,21.355400,39.961500
W3734,GF,21.357222,39.959721
W5196,GF,21.414910,39.880530
W5017,GF,21.416333,39.881230
W5066,GF,21.417800,39.881100
W5929,GF,21.481277,39.187438
W2254,GF,21.670195,39.106611
W2470,RT,21.420012,39.826495
W2625,WM,21.420460,39.823767
W2626,WM,21.420460,39.823767
W5424,GF,19.285699,41.424900
W3227,GF,19.817301,41.859250
W2593,RT,21.250106,40.420256
W2511,RT,21.280200,40.418600
W2578,RT,21.287328,40.418732
W5147,GF,21.380400,39.923700
W5148,GF,21.380810,39.921110
W5143,GF,21.386452,39.911522
W5102,GF,21.387861,39.909194
W3967,GF,21.388230,39.906420
W5649,RT,21.480205,39.237480
W5263,GF,21.512557,39.156927
W2454,WM,21.420100,39.824500
W2623,RT/IBS,21.419967,39.824723
W3350,GF,21.631872,39.103273
W3360,GF,21.649297,39.102622
W4943,GF,19.854500,41.882800
W3945,RT,21.316832,39.243932
W2627,WM,21.419967,39.824723
W5805,RT,21.588715,39.147990
W2189,RT,21.578700,39.190366
W3885,RT,21.595880,39.162196
W2054,WM,21.420300,39.823500
W2972,IBS,21.507400,39.218600
W4120,RT,21.766400,39.209500
W2607,GF,21.786753,39.101710
W4369,GF,20.845500,39.402500
W5423,GF,19.445047,41.379583
W3208,GF,20.175700,41.379200
W2585,GF,21.246457,40.397983
W3577,RT,21.475333,39.228735
W3806,RT,21.545861,39.186471
W3238,GF,21.587880,39.241095
W3823,RT,21.594811,39.167776
W4172,RT,21.649933,39.132132
W6285,GF,21.697577,39.117788
W4899,GF,19.958000,41.500900
W2521,RT,21.452218,40.507655
W3600,RT,21.522838,39.184533
W3791,RT,21.564568,39.178080
W5767,RT,21.590873,39.237228
W5810,RT,21.607833,39.232071
W5340,RT,21.608630,39.264031
W5474,GF,21.192289,41.654250
W6173,RT,21.439660,39.207680
W6207,RT,21.472300,39.219000
W3584,RT,21.522061,39.222916
W3599,RT,21.562131,39.187083
W4429,GF,21.195968,39.183238
W3511,GF,20.313300,40.050100
W5590,RT,21.420901,39.847699
W5430,GF,22.046018,39.998677
W3557,GF,21.933955,38.966015
W3367,RT,21.605371,39.215441
W5782,RT,21.659448,39.128066
W5783,RT,21.767862,39.155038
W3131,GF,21.849068,39.236022
W3697,GF,21.258970,42.852090
W2762,GF,19.684815,40.914942
W3209,GF,20.087500,41.873300
W7037,GF,20.147510,42.001790
W5756,GF,21.295247,40.383702
W2531,GF,21.321440,40.354880
W6511,IBS,21.426274,39.363768
W6512,IBS,21.426500,39.359900
W2228,RT,21.544795,39.230125
W2859,RT,21.575100,39.217100
W2869,RT,21.602433,39.133463
W5755,GF,21.625123,39.147032
W2911,IBS,21.525500,39.168000
W3128,RT,21.861570,39.233007
W3396,GF,21.957548,38.963730
W2407,GF,21.352938,40.285570
W2283,GF,21.942338,38.954223
W2985,IBS,21.603600,39.109500
W4928,RT,20.030543,41.448730
W4962,RT,20.058073,41.448257
W2757,GF,20.251300,40.179800
W3667,GF,21.236670,40.464872
W2483,RT,21.436590,39.844381
W4473,RT,21.405423,39.818433
W6162,GF,21.591482,39.783803
W3107,RT,21.448095,39.821625
W3886,GF,21.699500,39.963900
W2986,IBS,21.604300,39.109800
W4079,RT,21.436393,39.848810
W2780,GF,23.315200,38.795000
W5388,GF,21.099500,40.620600
W4974,GF,20.056835,41.505570
